file_name,risk
freeway_0209,0.016996324
freeway_0210,0.038263377
freeway_0211,0.3530825
freeway_0212,0.04347027
freeway_0213,0.9437534
freeway_0214,0.19320893
freeway_0215,0.70621437
freeway_0216,0.84491163
freeway_0217,0.5690729
freeway_0218,0.94072855
freeway_0219,0.8206659
freeway_0220,0.54254055
freeway_0221,0.46167168
freeway_0222,0.8359307
freeway_0223,0.008056917
freeway_0224,0.83842725
freeway_0225,0.8483211
freeway_0226,0.012806148
freeway_0227,0.0027396413
freeway_0228,0.07734815
freeway_0229,0.0018736155
freeway_0230,0.2000116
freeway_0231,0.007623554
freeway_0232,0.2044611
freeway_0233,0.93444073
freeway_0234,0.2608147
freeway_0235,0.078033075
freeway_0236,0.034058336
freeway_0237,0.23796798
freeway_0238,0.0464258
freeway_0239,0.0013740782
freeway_0240,0.0826055
freeway_0241,0.053473398
freeway_0242,0.05751061
freeway_0243,0.077422686
freeway_0244,0.053028185
freeway_0245,0.3966771
freeway_0246,0.008950103
freeway_0247,0.76343995
freeway_0248,9.924506e-05
freeway_0249,0.054473445
freeway_0250,0.60958695
freeway_0251,0.754661
freeway_0252,0.01413013
freeway_0253,0.92040247
freeway_0254,0.039503556
freeway_0255,0.37907904
freeway_0256,0.034176707
freeway_0257,0.49965993
freeway_0258,0.06407698
freeway_0259,0.62029266
freeway_0260,0.01956338
freeway_0261,0.46342933
freeway_0262,0.1257815
freeway_0263,0.36797658
freeway_0264,0.04363901
freeway_0265,0.022743339
freeway_0266,0.10737855
freeway_0267,0.06539893
freeway_0268,0.06735885
freeway_0269,0.15086068
freeway_0270,0.48152572
freeway_0271,0.07940833
freeway_0272,0.049415234
freeway_0273,0.025395717
freeway_0274,0.013637978
freeway_0275,0.4048912
freeway_0276,0.45352057
freeway_0277,0.5958901
freeway_0278,0.8492172
freeway_0279,0.4590676
freeway_0280,0.28189912
freeway_0281,0.07053895
freeway_0282,0.28428918
freeway_0283,0.042124975
freeway_0284,0.81842625
freeway_0285,0.08700695
freeway_0286,0.0013193381
freeway_0287,0.9787813
freeway_0288,0.182128
freeway_0289,0.7192208
freeway_0290,0.16967258
freeway_0291,0.010659156
freeway_0292,0.35161096
freeway_0293,0.5428394
freeway_0294,0.6093711
freeway_0295,0.1535552
freeway_0296,0.5220733
freeway_0297,0.5529924
freeway_0298,0.57146275
freeway_0299,0.22167607
freeway_0300,0.37964952
freeway_0301,0.13014589
